symbol,date,price
Russian,Dec 1859,22390093.0
Russian,Dec 1860,23810592.0
Russian,Dec 1861,34099948.0
Russian,Dec 1862,23607536.0
Russian,Dec 1863,26449360.0
Russian,Dec 1864,24583589.0
Russian,Dec 1865,25309867.0
Russian,Dec 1866,27902155.0
Russian,Dec 1867,26512657.0
Russian,Dec 1868,32455769.0
Russian,Dec 1869,33914849.0
Russian,Dec 1870,29495713.0
Russian,Dec 1871,33124221.0
Russian,Dec 1872,39396801.0
Russian,Dec 1873,32678741.0
Russian,Dec 1874,31023135.0
Russian,Dec 1875,30920212.0
Russian,Dec 1876,35494691.0
Russian,Dec 1877,28605022.0
Russian,Dec 1878,36631049.0
Russian,Dec 1879,32934811.0
Russian,Dec 1880,41907610.0
Russian,Dec 1881,40499800.0
Russian,Dec 1882,43238185.0
Russian,Dec 1883,41443183.0
Russian,Dec 1884,45732119.0
Russian,Dec 1885,45086811.0
Russian,Dec 1886,44154394.0
Russian,Dec 1887,49429587.0
Russian,Dec 1888,49179883.0
Russian,Dec 1889,54398293.0
Russian,Dec 1890,59685398.0
Russian,Dec 1891,60866025.0
Russian,Dec 1892,61287573.0
Russian,Dec 1893,52017770.0
Russian,Dec 1894,68149054.0
Russian,Dec 1895,71697790.0
Russian,Dec 1896,90197741.0
Russian,Dec 1897,93117117.0
Russian,Dec 1898,93700425.0
Russian,Dec 1899,80323233.0
Russian,Dec 1900,90823969.0
Russian,Dec 1901,87769898.0
Russian,Dec 1902,93772002.0
Russian,Dec 1903,107716061.0
Russian,Dec 1904,109612590.0
Russian,Dec 1905,97602378.0
Russian,Dec 1906,120719237.0
Russian,Dec 1907,88271193.0
Russian,Dec 1908,92288462.0
Russian,Dec 1909,45053238.0
Russian,Dec 1910,44198248.0
Russian,Dec 1911,63104534.0
Russian,Dec 1912,69553399.0
Russian,Dec 1913,51779286.0
Russian,Dec 1914,48108012.0
Russian,Dec 1915,35917247.0
Russian,Dec 1916,29160134.0
Russian,Dec 1917,20883079.0
Russian,Dec 1918,17423345.0
Russian,Dec 1919,12583213.0
Russian,Dec 1920,16917685.0
Russian,Dec 1921,26370550.0
Russian,Dec 1922,51828694.0
Russian,Dec 1923,78463228.0
Russian,Dec 1924,53100691.0
Russian,Dec 1925,70898971.0
Russian,Dec 1926,80530749.0
Russian,Dec 1927,73385369.0
Russian,Dec 1928,96734921.0
Russian,Dec 1929,84248755.0
Russian,Dec 1930,74066959.0
Russian,Dec 1931,79658872.0
Russian,Dec 1932,83600201.0
Russian,Dec 1933,93920093.0
Russian,Dec 1934,103359537.0
Russian,Dec 1935,131007840.0
Russian,Dec 1936,119137685.0
Russian,Dec 1937,116669624.0
Russian,Dec 1938,105737666.0
Russian,Dec 1939,116788584.0
Russian,Dec 1940,99587045.0
Russian,Dec 1941,82298788.0
Russian,Dec 1942,19222629.0
Russian,Dec 1943,25619468.0
Russian,Dec 1944,43249810.0
Russian,Dec 1945,59007540.0
Russian,Dec 1946,120258947.0
Russian,Dec 1947,152912431.0
Russian,Dec 1948,182508938.0
Russian,Dec 1949,169809949.0
Russian,Dec 1950,197645238.0
Russian,Dec 1951,209429109.0
Russian,Dec 1952,224513425.0
Russian,Dec 1953,223783230.0
Russian,Dec 1954,248707714.0
Russian,Dec 1955,337299143.0
Russian,Dec 1956,399270286.0
Russian,Dec 1957,419478229.0
Russian,Dec 1958,466060343.0
Russian,Dec 1959,557432686.0
Russian,Dec 1960,647146803.0
Russian,Dec 1961,660559957.0
Russian,Dec 1962,674908069.0
Russian,Dec 1963,706956930.0
Russian,Dec 1964,600684058.0
Russian,Dec 1965,655535229.0
Russian,Dec 1966,624075390.0
Russian,Dec 1967,669049012.0
Russian,Dec 1968,625358729.0
Russian,Dec 1969,637697580.0
Russian,Dec 1970,606342942.0
Russian,Dec 1971,507482466.0
Russian,Dec 1972,516856313.0
Russian,Dec 1973,598776810.0
Russian,Dec 1974,602221544.0
Russian,Dec 1975,650423656.0
Russian,Dec 1976,690592684.0
Russian,Dec 1977,710709995.0
Russian,Dec 1978,719484901.0
Russian,Dec 1979,667981172.0
Russian,Dec 1980,661170178.0
Russian,Dec 1981,615175750.0
Russian,Dec 1982,625928498.0
Russian,Dec 1983,632282096.0
Russian,Dec 1984,645834821.0
Russian,Dec 1985,681287011.0
Russian,Dec 1986,667441675.0
Russian,Dec 1987,712859293.0
Russian,Dec 1988,730775704.0
Russian,Dec 1989,760336137.0
Russian,Dec 1990,711334148.0
Russian,Dec 1991,459863617.0
Russian,Dec 1992,358483815.0
Russian,Dec 1993,375242527.0
Russian,Dec 1994,397546790.0
Russian,Dec 1995,353182938.0
Russian,Dec 1996,310216223.0
Russian,Dec 1997,320926350.0
Russian,Dec 1998,333183025.0
Russian,Dec 1999,396912668.0
Russian,Dec 2000,439641047.0
Chinese,Dec 1850,18871.0
Chinese,Dec 1851,15386.0
Chinese,Dec 1852,0.0
Chinese,Dec 1853,15001.0
Chinese,Dec 1854,1788.0
Chinese,Dec 1855,1255.0
Chinese,Dec 1856,7129.0
Chinese,Dec 1857,6314.0
Chinese,Dec 1858,7929.0
