date,English,French,Spanish,Russian,German,Chinese,Hebrew
1862,359348504,240734956,62567935,23607536,78209559,0,1686979
1861,386434758,265191700,69223562,34099948,67356100,26949,486074
1860,527075534,252522098,55538680,23810592,75371415,6821,2529729
1859,514981083,244458970,55139219,22390093,48892284,4434,1793352
1858,465692646,235461160,51145836,18984177,59569616,7929,2072287
1857,501301715,229729605,55593229,16061755,62267662,6314,1267862
1856,544114648,195968798,49579310,9595024,58591359,7129,995614
1855,500787018,203508777,43819130,10047825,62260888,1255,751263
1854,590302292,207666859,40154362,8844777,51646752,1788,1016924
1853,552547561,161810733,41855112,9592948,53480680,15001,819226
1852,488450793,157230243,47419413,10006273,59421073,0,1432114
1851,455450835,166465479,53328379,7432532,58725973,15386,967885
1850,425097967,126884505,45871359,8162033,57005387,18871,32474
